Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
-1.0489,-0.58044,-1.7465,0,0,0,0.089197,0.078534,0.505,0.505,0.011
1.9756,-0.3462,-3.1416,2,2,0,0.746,0.11736,0.505,0.505,0.011
2.2098,-1.5122,-1.9807,0,2,-2,0.84348,0.071464,0.505,0.505,0.011
-1.7465,-1.278,1.9756,0,0,-2,0.96953,0.047254,0.505,0.505,0.011
2.6731,1.2832,3.1416,-2,-2,0,0.94454,0.095253,0.505,0.505,0.011
1.278,-1.278,-0.35136,-2,-2,2,1.2109,0.25341,0.505,0.505,0.011
3.62E-17,0.69756,0.46332,0,-2,2,0.87039,0.031682,0.505,0.505,0.011
-0.23424,1.1609,-2.7954,0,0,2,0.4817,0.10543,0.505,0.505,0.011
-0.11712,-0.58044,-1.2832,2,-2,0,1.0116,0.029305,0.505,0.505,0.011
1.3951,0.46332,-6.21E-17,2,2,2,1.0522,0.63279,0.505,0.505,0.011
-1.6294,-0.23424,-1.8636,-2,2,2,1.4977,0.39875,0.505,0.505,0.011
0,0,1.1609,0,-2,2,1.3217,0.070296,0.505,0.505,0.011
-2.7954,-1.166,1.3951,0,-2,0,0.92865,0.051707,0.505,0.505,0.011
1.1609,-0.9318,-2.7954,0,2,0,0.39027,0.11626,0.505,0.505,0.011
2.6731,-1.5122,-1.0489,-2,0,-2,1.815,0.043512,0.505,0.505,0.011
0.46332,0,0.46332,-2,-2,-2,0.88763,0.017589,0.505,0.505,0.011
1.278,-0.3462,-2.6783,-2,-2,0,1.1845,0.10071,0.505,0.505,0.011
-0.11712,-0.58044,2.2098,2,2,0,1.3801,0.10144,0.505,0.505,0.011
-2.6783,-0.58044,1.9756,-2,0,-2,1.1706,0.11131,0.505,0.505,0.011
1.8584,-0.9318,-1.166,0,0,-2,0.53657,0.073659,0.505,0.505,0.011
1.5122,-0.3462,1.9756,2,-2,-2,1.8192,0.1853,0.505,0.505,0.011
1.5122,-1.5122,-1.7465,2,-2,2,1.1166,0.16879,0.505,0.505,0.011
-0.46848,-0.23424,2.0927,2,0,2,1.8154,0.043011,0.49439,0.49439,0.010229
1.278,-1.278,-1.7465,-2,2,2,0.97093,0.249,0.505,0.505,0.011
2.2098,1.0489,0.58044,2,2,0,0.8149,0.10882,0.50241,0.50241,0.011047
1.3951,-0.46848,-1.6294,0,2,-2,0.73942,0.11176,0.505,0.505,0.011
-1.166,1.1609,-1.39E-16,0,-2,-2,0.66869,0.087894,0.51471,0.49529,0.010823
-0.9318,-0.9318,0,-2,-2,0,0.87354,0.13604,0.505,0.505,0.011
3.0245,1.3951,2.7902,-2,0,-2,1.2511,0.0058131,0.505,0.505,0.011
0.58044,0.11712,1.278,-2,-2,2,1.2432,0.077947,0.505,0.505,0.011
0.46332,0.46332,0.46332,-2,0,-2,0.53211,0.057562,0.505,0.505,0.011
-1.9807,-0.58044,2.2098,2,2,0,1.9094,0.87709,0.505,0.505,0.011
-0.11712,1.0489,-2.444,0,2,2,0.97748,0.09901,0.505,0.505,0.011
0.58044,0.81468,1.9756,-2,-2,-2,1.6513,0.058846,0.505,0.505,0.011
3.1416,-1.278,2.2098,-2,0,0,0.50743,0.063,0.505,0.505,0.011
-1.2832,1.2832,-1.7465,2,2,0,1.7233,0.021536,0.505,0.505,0.011
0.46332,-2.78E-17,0.69756,-2,2,2,0.98637,0.092345,0.505,0.505,0.011
1.3951,1.1609,-0.23424,-2,0,0,0.65355,0.036209,0.505,0.505,0.011
2.7902,0.69756,-0.9318,-2,2,2,1.9429,0.0077512,0.505,0.505,0.011
-2.6783,1.0489,-2.6783,0,-2,-2,0.77887,0.057815,0.505,0.505,0.011
1.1609,-1.166,1.8584,-2,-2,0,1.4151,0.017156,0.505,0.505,0.011
2.7902,1.3951,-0.23424,-2,0,2,1.8555,0.035014,0.505,0.505,0.011
1.5122,1.0489,-1.0489,2,-2,-2,0.99053,0.17955,0.505,0.505,0.011
-1.8636,-1.11E-16,2.0927,-2,0,2,1.4781,0.10678,0.505,0.505,0.011
-0.35136,-0.58044,-1.9807,-2,0,2,0.72961,0.57923,0.505,0.505,0.011
-0.46848,1.1609,2.0927,0,-2,-2,1.6415,0.10293,0.505,0.505,0.011
2.7902,0.69756,-0.23424,2,2,-2,1.3336,0.19804,0.505,0.505,0.011
1.8584,-0.23424,-0.9318,2,2,2,1.1182,0.058809,0.505,0.505,0.011
1.5122,-0.3462,3.1416,-2,-2,2,1.5226,0.1009,0.505,0.505,0.011
-3.57E-18,-0.23424,-0.23424,2,2,0,1.1591,0.10099,0.49197,0.49197,0.011237
-1.8636,-1.166,-0.23424,0,2,0,1.7321,0.093029,0.505,0.505,0.011
-0.46848,-1.166,-0.9318,-2,0,0,0.3062,0.27511,0.505,0.505,0.011
-0.46848,0,-1.8636,-2,0,0,0.48504,0.049013,0.505,0.505,0.011
-2.7954,-1.166,1.3951,0,2,0,0.37731,0.42148,0.505,0.505,0.011
0.58044,-1.278,-0.81468,-2,2,2,1.5131,0.15518,0.505,0.505,0.011
-1.8636,1.1609,-1.166,-2,2,0,0.9319,0.10268,0.505,0.505,0.011
1.1609,0.69756,-1.166,-2,0,-2,0.71711,0.1023,0.505,0.505,0.011
2.2098,1.0489,-1.9807,2,0,-2,1.2695,0.11025,0.505,0.505,0.011
1.9756,-0.58044,-2.444,0,0,0,0.41474,0.045243,0.505,0.505,0.011
1.278,-0.3462,-1.2832,-2,2,0,1.6644,0.33008,0.505,0.505,0.011
0.3462,-1.278,1.278,0,2,-2,1.3152,0.11053,0.505,0.505,0.011
1.8584,5.55E-17,-2.5612,0,2,-2,0.8384,0.097755,0.505,0.505,0.011
2.6731,-0.3462,-0.11712,2,-2,2,1.4466,0.098233,0.505,0.505,0.011
2.3269,-0.46848,-2.5612,0,2,2,0.79763,0.063129,0.505,0.505,0.011
-0.81468,-1.5122,-1.0489,2,0,-2,0.76622,0.10786,0.505,0.505,0.011
1.1609,-1.11E-16,2.7902,2,2,-2,0.7923,0.45922,0.505,0.505,0.011
-1.6294,1.1609,-0.9318,2,-2,0,0.95869,0.060761,0.505,0.505,0.011
-0.11712,-1.5122,1.278,-2,0,-2,1.0003,0.011637,0.505,0.505,0.011
-2.7954,1.3951,-0.9318,2,0,2,1.5607,0.32237,0.505,0.505,0.011
1.9756,1.0489,2.6731,2,0,-2,1.7745,0.0067284,0.505,0.505,0.011
-0.35136,0.81468,-0.35136,0,-2,0,0.43026,0.15757,0.505,0.505,0.011
1.8584,-0.23424,-1.166,0,2,0,0.30894,0.21597,0.505,0.505,0.011
2.3269,-0.9318,-1.166,-2,2,2,1.2701,0.099447,0.505,0.505,0.011
-1.6294,-0.23424,-1.166,-2,0,2,0.75857,0.10991,0.505,0.505,0.011
-2.5612,-0.23424,2.0927,0,-2,0,1.3249,0.10548,0.505,0.505,0.011
-1.0489,0.11712,-1.2832,-2,-2,0,0.7025,0.099288,0.505,0.505,0.011
-0.81468,0.11712,-0.11712,2,-2,0,0.83695,0.078548,0.505,0.505,0.011
-0.46848,0.69756,0.46332,0,-2,-2,0.6395,0.16178,0.505,0.505,0.011
-3.1416,-0.58044,2.2098,-2,0,0,1.9816,0.021486,0.505,0.505,0.011
-1.9807,-0.58044,-0.35136,2,-2,2,1.8816,0.0093637,0.505,0.505,0.011
1.1609,0,-1.6294,0,2,-2,0.73932,0.637,0.505,0.505,0.011
