Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,P,D,Time,Prop,Energy,Error
2.0309,-0.65034,2.1595,0.28955,-0.031757,0.31362,0.13276,0.25171,0.012009,4.6921,0.10395,0.014459
1.1787,0.26039,-2.3931,-0.11295,-0.12964,-0.37456,0.071119,0.22268,0.019999,1.6583,0.028236,0.028261
-2.3924,0.44941,-1.8746,-0.83914,0.50965,-0.14668,0.18135,0.39211,0.0061323,5.2221,0.17297,0.014619
-1.8215,-0.80661,2.8935,-0.25415,0.18466,-0.2811,0.096888,0.31213,0.017498,5.0703,0.15236,0.02738
1.3325,-0.20562,0.55087,1.3204,0.049327,1.2056,0.025817,0.09268,0.019989,2.803,0.22779,0.024754
1.167,-0.35314,-0.77374,0.50192,0.53957,-0.21416,0.2524,0.3332,0.010272,5.1145,0.053174,0.011452
-3.0624,1.5012,2.7345,0.90969,0.073598,0.21417,0.29497,0.47032,0.0050093,5.2983,0.1335,0.011298
-2.035,-1.3794,-0.78485,-0.91821,-0.34028,-0.59103,0.14191,0.25406,0.0080485,3.6744,0.1912,0.01379
1.2173,-0.46705,1.1038,0.64809,-0.3966,-1.2916,0.089858,0.39781,0.0095754,5.0671,0.19357,0.021819
-2.6696,1.1514,-2.3946,-0.1384,-0.014084,-0.10478,0.097836,0.30139,0.006668,4.3909,0.035958,0.018449
2.0037,1.1327,0.42514,-0.26515,-0.015896,0.31153,0.11273,0.26274,0.012578,4.8971,0.034445,0.017907
1.3182,-0.5386,-2.1553,-0.32862,0.0015143,0.48794,0.094081,0.25783,0.018471,0.8409,0.029825,0.021813
-3.1347,-0.33799,2.1861,0.40252,0.12871,0.81709,0.045007,0.29147,0.019834,0.63859,0.072076,0.058035
0.32227,0.82315,0.12097,-0.92132,-0.21835,-0.43979,0.44542,0.41995,0.012566,4.8461,0.082084,0.0091204
-2.1015,0.63602,1.9804,0.22504,0.27876,-0.70982,0.16393,0.42553,0.011723,4.9195,0.12323,0.022567
-0.49106,-0.92158,-2.5277,-0.33025,-0.34002,0.72106,0.15526,0.25401,0.011885,4.7505,0.073692,0.013633
-2.9071,-1.2739,1.301,-0.37026,-0.77211,-0.018174,0.12921,0.24751,0.016793,5.3191,0.10887,0.017036
-2.0962,1.4123,2.7232,-0.2342,-0.65878,0.21859,0.11399,0.38435,0.013955,0.71628,0.052779,0.029941
-2.9334,0.069203,2.2349,0.55595,0.502,-0.33239,0.11794,0.3577,0.0074057,5.0925,0.2088,0.018145
0.31236,-0.79428,0.76495,0.51543,-1.0328,-0.69927,0.19589,0.44668,0.0095163,5.1158,0.28083,0.020703
1.9068,-1.1275,0.42816,-0.50376,-0.79994,-0.024805,0.035428,0.18142,0.012232,2.3077,0.18835,0.026575
