Alpha,W,Dh,L,L/D,Pe
0.5,0.8,0.533,68,127.5797373,8.1389
0.5,0.8,0.533,68,127.5797373,11.0689
0.5,0.8,0.533,68,127.5797373,5.2089
0.33,0.6,0.3,68,226.6666667,6.51112
0.33,0.6,0.3,68,226.6666667,9.76668
0.33,0.6,0.3,68,226.6666667,12.3711
